date,Period,All items,All items less food and energy,Shelter,Services less energy services,FT core,Energy,All items less food,All items less food and shelter,"All items less food, shelter, and energy","All items less food, shelter, energy, and used cars and trucks",All items less shelter,All items less medical care,All items less energy,Apparel less footwear,Apparel,Men's and boys' apparel,Women's and girls' apparel,Commodities,Energy commodities,Commodities less food,Commodities less food and beverages,Commodities less food and energy commodities,"Commodities less food, energy, and used cars and trucks",Durables,Education and communication,Education,Communication,Information and information processing,Education and communication commodities,Education and communication services,Food and beverages,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs","Meats, poultry, and fish",Meats,Fruits and vegetables,Fresh fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Alcoholic beverages,Other goods and services,Personal care,Other goods,Housing,Fuels and utilities,Household energy,Household furnishings and operations,Household furnishings and supplies,Medical care,Medical care commodities,Medical care services,Nondurables,Domestically produced farm food,Nondurables less food,Nondurables less food and beverages,"Nondurables less food, beverages, and apparel",Nondurables less food and apparel,Recreation,Recreation commodities,Recreation services,Services,Utilities and public transportation,Rent of shelter,Other services,Transportation services,Services less rent of shelter,Services less medical care services,Transportation,Private transportation,Transportation commodities less motor fuel,Men's apparel,"Men's suits, sport coats, and outerwear","Men's underwear, nightwear, swimwear and accessories",Men's shirts and sweaters,Men's pants and shorts,Boys' apparel,Women's apparel,Women's outerwear,Women's dresses,Women's suits and separates,"Women's underwear, nightwear, swimwear and accessories",Girls' apparel,Footwear,Men's footwear,Boys' and girls' footwear,Women's footwear,Infants' and toddlers' apparel,Jewelry and watches,Watches,Jewelry,Educational books and supplies,"Tuition, other school fees, and childcare",College tuition and fees,Elementary and high school tuition and fees,Day care and preschool,Technical and business school tuition and fees,Postage and delivery services,Postage,Delivery services,"Information technology, hardware and services","Computers, peripherals, and smart home assistants",Internet services and electronic information providers,"Telephone hardware, calculators, and other consumer information items",Information technology commodities,Cereals and cereal products,Flour and prepared flour mixes,Breakfast cereal,"Rice, pasta, cornmeal",Bakery products,Bread,"Fresh biscuits, rolls, muffins","Cakes, cupcakes, and cookies",Other bakery products,Beef and veal,Uncooked ground beef,Uncooked beef roasts,Uncooked beef steaks,Pork,"Bacon, breakfast sausage, and related products",Ham,Pork chops,"Other pork including roasts, steaks, and ribs",Other meats,Poultry,Chicken,Other uncooked poultry including turkey,Fish and seafood,Fresh fish and seafood,Processed fish and seafood,Eggs,Dairy and related products,Milk,Cheese and related products,Ice cream and related products,Other dairy and related products,Fresh fruits,Apples,Bananas,Citrus fruits,Other fresh fruits,Fresh vegetables,Potatoes,Lettuce,Tomatoes,Other fresh vegetables,Processed fruits and vegetables,Canned fruits and vegetables,Frozen fruits and vegetables,Other processed fruits and vegetables including dried,Juices and nonalcoholic drinks,Carbonated drinks,Nonfrozen noncarbonated juices and drinks,Beverage materials including coffee and tea,Coffee,Other beverage materials including tea,Sugar and sweets,Sugar and sugar substitutes,Candy and chewing gum,Other sweets,Fats and oils,Butter and margarine,Salad dressing,Other fats and oils including peanut butter,Other foods,Soups,Frozen and freeze dried prepared foods,Snacks,"Spices, seasonings, condiments, sauces",Other miscellaneous foods,Food away from home,Full service meals and snacks,Food at employee sites and schools,Other food away from home,Alcoholic beverages at home,"Beer, ale, and other malt beverages at home",Distilled spirits at home,Wine at home,Alcoholic beverages away from home,Tobacco and smoking products,Cigarettes,Miscellaneous personal services,Legal services,NA,Weighted median,Trim 10,Trim 20,Diffusion,Prop. increasing,Volatility,Excl. energy & food
2024-09-01,Three months,2.21533309915485,3.16817294182397,4.53032455398721,4.3547093202839,,-9.08730134348055,2.16704923173225,0.478544014999471,2.0361734167019,2.32998534576785,0.908333507120007,2.33549971159983,3.07553865849244,4.1567784422714,3.34313585583161,2.0540784256831,5.91902407643856,-1.18867283268895,-16.1223996574873,-3.39329813219896,-3.57146047619236,-0.734855536786672,-0.327122207811614,-0.405132250280793,0.408275973978101,5.41969642366757,-3.16842104861802,-3.32607584704877,-6.12141008559185,1.52165045393109,2.45090607921081,2.52932285279273,2.03058620421579,-0.494343102192574,8.4661330664721,3.16272676128233,3.93636106702147,4.12230146268855,5.80491463710047,0.0236790396201281,-2.07144647475144,1.18532370543816,2.59491113136112,1.91663921651866,2.73583212136663,3.77615625531675,0.680268572458376,-1.063387867702,0.748303694103991,-0.895487145433171,0.85039148769408,-2.94569117693106,1.72713819206796,0.163671124345344,3.44102665608992,-3.49551463100365,-3.88739391120618,-5.01045039341907,-4.4491726738999,-1.10144922488533,-3.29182081916602,0.275696690422378,4.12103690498904,1.90155644026959,4.51695697487988,1.24856248056646,10.2291585726604,3.11755386755885,4.10411545872895,-0.166294200908357,-1.21728656055735,-0.999282792062051,-2.2538908623666,-10.0707662414377,-5.27528747642832,-8.58570829926388,4.3158887993064,19.6191763362955,6.32105104445331,-8.98350869891604,-7.30320060617483,5.70692707649703,12.8051565973958,3.18343596984569,0.266605135470965,3.83769429056073,13.2774964002556,-6.94665553190755,3.1678711883881,2.78176949786544,-0.835819338864929,-1.69955140165046,,5.2594122660685,4.1248287033391,4.41926889592164,13.1157213431842,1.27334208939378,4.9629626896315,5.2761154117013,2.948648173526,-6.8160912155778,-4.09456463340275,-6.07754465844847,-10.7669759046685,-7.77108669648531,2.31565552638726,-2.64024739831485,-0.606826508235792,2.44938148010958,-1.09808907046726,-5.43672124980752,-5.58691433447072,7.60729392093977,-3.39142829319398,6.93869555138062,11.9847438241027,10.6092662007322,11.1601313606775,0.583395994066183,-6.62852123515405,2.45507120676112,-1.28684311114833,9.69290200418262,2.88728450361018,4.88993067083254,5.71750471174068,-0.743181584343777,-1.9873664965797,-9.35917422747472,-0.259001320970764,93.86425882543,2.32512993661993,5.48183848777988,4.35077784073477,-3.12969827771296,-1.53785573861628,10.9899290528224,7.14775929045788,-6.1394443077727,10.4355256099767,18.3391246385428,0.221749306415786,-1.18547814248311,-12.9538937923938,11.1754104644717,2.95932280955666,-0.96201285974068,-2.71463097796442,-0.941515594041276,2.19682356829556,-1.58422584080238,-2.41690099385133,-0.301580182662031,3.10534636249735,3.88414527351297,-0.886138056550234,-1.15755849977033,0.553992606729392,-1.97119547464444,-3.2252632764797,-2.40889607797959,1.0482790565528,10.3928408885939,-1.70696308028024,-2.18270940118236,-5.19229123040655,-0.210438934167245,-3.93525579273317,2.82413274672271,-4.20738792113715,3.28203638166715,2.91552749528861,10.4569040703435,6.01190175712498,1.19735560789438,1.13350620989165,1.30408535444237,-0.443171492520233,1.36342782647101,5.53365032536808,7.16959995586546,1.98586162509971,,,3.20427026168993,3.87563579664578,5.46168975539491,0.09538,0.71875,,3.16817294182397
2024-08-01,Three months,1.27190941743665,2.26515718711717,4.36346076464871,3.626939186399,,-11.3213349896634,1.13260575647458,-1.15405516702206,0.535060952450528,1.15189286113531,-0.456892309868595,1.37441948450705,2.25357528195855,0.509022384869584,-0.711210516963212,-4.82465910071673,3.94267230618637,-2.3348369456341,-18.3849941406314,-4.97606588653055,-5.23645982439421,-2.08148024040754,-0.872096670550215,-4.05969626897388,0.331233184819513,3.39151154133248,-1.86950444924582,-2.05863231253188,-5.90968495621412,1.40343567143979,2.16379058353227,2.18266977708474,1.25850438157757,-1.81174816579568,6.26290226888229,2.41794876156851,2.88234753873857,0.382114858254545,0.752581786812345,0.526410853850834,-1.12618357955721,1.85772250200222,3.62788194497858,2.73901641400074,2.54834237655455,3.59716394094585,-0.999855748819045,-2.77237546475868,1.96320913121057,-1.59934308338295,0.0914826242887301,0.517345568566752,-0.00522962977373975,-1.51851646894751,1.2811224670696,-5.61274826347998,-6.13087913123117,-8.24640161697381,-7.40600290705815,0.902009277221216,-0.869405982834592,2.01154558621219,3.33331757768405,-1.77446521525063,4.40755617840889,2.26717349949053,3.1435858390978,1.37326828430091,3.65552189061704,-4.8729517514083,-4.96319862410183,-4.5361842376489,-7.15473253339982,-25.6800297374063,-3.25965298465302,-12.5024090277121,1.65222406817302,7.02055337250176,3.8047970546067,4.88358212885982,-6.89583673088737,1.26102346988166,15.4382201393965,4.92027711330976,-5.27840059714029,1.64062323916596,-3.50239407242078,-11.4004186636397,0.194920036942769,0.95900067158432,-3.54631924757827,2.97891989392034,,3.83543146703298,1.80453032808678,5.53093959994153,6.94102254058286,0.736366415628109,7.95994297853058,8.81877620895153,2.52019192902446,-3.90741008388403,-7.29246391401025,-2.68299873049487,-4.99655033491747,-5.57241699738087,-3.16068516002773,0.62732239934602,-6.67078998870363,-2.83858137931786,-0.433072014519587,-1.84629724971966,-4.77935967819038,1.91210441909841,-0.674866175075284,5.49701493450829,15.0909864893932,17.1134387926657,1.26514728954252,-0.368622625624981,-6.66444951774834,4.09119868571599,17.3478785838787,1.76019905490026,2.43701584891491,2.57729812990659,1.44390794892706,10.7847985304974,0.328399406843616,-1.57493330323779,-1.34406384055967,66.3032097587148,4.14000546177928,10.0493856469195,1.17211594139517,2.27043692591413,1.83071297766104,3.06018815724016,-4.33285835271878,-6.47114677422108,8.71265631628766,3.39867424879607,-1.785653094067,-6.39129255653154,-6.62797360587785,0.85985833842579,-0.249358499570629,-0.761624613401624,-0.776446466925729,-2.57013145813504,0.836154645221776,0.0365346847357895,1.05059322707701,-0.695620518161277,1.38468719356706,-0.13624181811468,3.97427329233684,1.09646312628178,0.175385099201164,-0.0795615912737802,-0.178862652728751,-1.12431655317365,1.79160050862599,-5.40101624713929,2.8686486568678,-1.52489164983617,-4.6908057256407,-1.17580346812799,-5.92851256429319,3.5683012329637,-2.61413928356661,3.58746588045677,3.96000940285879,3.35431269517705,4.98911730298717,1.59383888704212,0.380680727558103,5.50648536615985,-1.00161975476978,2.5997693195448,7.49714105393446,9.47651093564377,6.05740757905906,,,3.58746588045677,3.13630888687193,4.69929441074361,0.08768,0.6875,,2.26515718711717
2024-07-01,Three months,0.704694079821411,1.69456337534077,3.91698091442858,2.95153618642865,,-12.5551395454432,0.486379328107422,-1.92175654698129,-0.127159735672489,0.579690907495012,-1.08164822736826,0.549945856612344,1.75684872425346,-1.84054982981485,-1.95375598129015,-2.19483917399431,-2.3217743281689,-2.89020271501309,-21.9042128470261,-5.792184196978,-6.08333501567373,-2.18077328239555,-0.677278209738197,-4.88576646679831,0.153191694110921,3.44204045164584,-2.19508838966981,-2.35354852977752,-8.66329812494743,1.71053452568311,2.10940694475326,2.12257373218472,0.917657366975067,-1.16544114494248,4.39050052399328,1.29977441352287,2.78075490124612,0.171917855311077,0.330647803512596,0.736960921007901,-0.46852728431751,1.90636036693652,3.96418450775531,2.76504915687874,3.50144016047189,3.38815020258896,0.428177591714807,-0.28181053446924,2.04009310177906,-0.506433344624646,2.51928870247606,6.70864330005174,1.59531576389833,-2.70128129068794,1.73516821848418,-6.74434248016803,-7.34351591256674,-8.71539907561324,-7.86732939820394,0.426403064988334,-0.797631431692603,1.18936442297524,2.80735659539453,-3.55679069759864,4.15123413056233,1.8197078739987,-1.46731068556299,1.17809929595896,3.19634280247789,-8.29914067416053,-7.34625429986747,-6.20175935214359,-3.03446581316071,-14.2351466751266,-4.94816969637717,-0.318167870899277,2.75104951671008,0.551682150439525,-1.733713859693,2.16420094731831,-1.61671949365213,-4.0877951898352,7.95082290527667,-6.29174441491076,-2.37307495539633,-1.60956211720472,-10.4398908916142,-4.21030459004782,-10.6809460171643,5.24661251656338,-5.40532488518423,6.79757288297003,,3.85860137361569,2.47996620206778,7.35996076886161,2.89271727869531,-1.33160089247455,5.97587923264218,6.53213967132615,2.44104914470014,-4.37091754305748,-9.77569066397271,-0.911633409263368,-8.01241196377203,-8.70547981785391,-7.39231082287688,-5.88007540201732,-6.17676678192014,-7.14509661827473,2.72204155544353,2.63670705846908,4.07011596306568,2.42766539735146,-0.110025811975334,3.32840799598013,14.623062282603,3.20251413559638,-2.09876844453873,2.14802237375931,0.432846911214502,7.12569053282439,19.5187676737967,0.161573444165541,2.59169177639684,-1.36026441058711,-0.501808816171034,-5.44435163745549,-1.37549534566669,-4.51410615925398,-0.256029392840007,52.4063524003987,1.77485409854514,5.22751670184898,-0.996717920629353,-6.22391112341023,5.20503708631002,0.963424207345942,-3.41234158592854,-6.05777079753574,6.59095899916533,4.49589195095126,-0.372353373847778,-5.879116961335,-2.35083319721886,-0.930781390744784,0.881283147528999,-0.316288370688578,-1.49447237762345,-1.43494287121996,4.48780778114803,-0.317988244027978,-0.710489073691045,-0.196013894203717,3.07781099662305,5.82783919960779,-0.297363192958344,-0.149319223365008,-1.19136806467951,0.419931875008572,-6.37251546117584,1.73786714337074,3.46683159833416,4.20350218811376,1.89357113996103,-0.86507028415741,2.80710893401392,2.53538221274954,-3.61741458990513,-1.1711452300264,-1.37559379220795,3.96115035080145,4.95267326430389,1.20522315828915,5.29021978938258,2.23424036292839,3.05111893918915,4.04372367043093,0.199482051789168,2.08419915272846,9.29713853535998,10.019356802407,3.3742962967118,,,2.62594472051805,3.0674339956938,4.16637971401216,0.06024,0.5625,,1.69456337534077
2024-06-01,Three months,1.31884326124432,2.01144821210724,3.79828528573538,3.20183063500949,,-7.67048818139682,1.20946875921499,-0.616835620401313,0.543255575479917,1.30173662966611,-0.0650388090535636,1.0515416998464,2.01279970042834,3.75567974514863,2.57796633809124,2.88216596106037,3.61189553607493,-1.5557575451287,-12.5466626201921,-3.64837116064016,-3.86397158552517,-1.77381318560553,-0.187983066193209,-5.42644208767843,0.491232683143927,3.53825331814464,-1.67675572561539,-1.79765635489101,-8.19768151296197,2.03307652930853,2.02344027404997,2.02369074909317,0.385666894948167,2.38778446856187,-0.784146067090463,-0.584422075730173,1.20154638471675,-2.94503701815034,-3.95715794032707,-0.493864323998305,2.15729502366799,2.04059070621172,4.58772788972637,3.62399962460498,2.24202641949058,2.94052702551577,-0.808104815806798,-1.71127240838046,-0.205960595896448,-1.82149035000454,4.44800195056743,7.94727781545799,3.67341665116783,-0.437401565360285,0.785536191232983,-2.54193052929254,-2.7785923397718,-4.3496581876229,-3.92227967235,0.923118966755121,0.39339008986341,1.25580390447544,2.96234281356811,-3.72874270817589,4.22596513092515,2.50576167957761,0.273956752147764,1.7055567737265,2.99906467533462,-5.46716081850267,-4.51338415046676,-6.86547738874737,0.957687337566915,-8.69819373712208,-1.47342274020196,6.75508125942037,6.77403650929513,9.60952716424641,4.99320547015187,0.619184039989862,7.57518100591656,2.14524219707692,10.6042014791093,-5.34004807716472,-1.80528340930075,-3.20205222008708,-9.29854224753476,3.1818202830088,-14.7329954102529,15.7624069941106,-3.07970066956061,20.7753249212576,,3.49303537632826,2.2429136092343,6.17896614330886,2.77661486894152,0.124940964687315,4.35624390658087,4.46905935607791,3.62891454671337,-3.99339042921354,-7.96337972523236,0.386313016241013,-10.4850239561143,-9.47216166981919,0.605034247367242,4.6558362366637,6.03093471717606,-3.10303009439717,2.67012043845531,6.4364871335306,1.51975501054997,-2.50843153730083,4.55665575996211,0.68610957659081,10.4537146382108,-1.94647079353023,-8.49288686938238,2.60967939225567,6.40106716748412,1.03616674431284,17.9121610643804,-4.97882238689974,0.280325672241499,-7.4670619841604,-7.16517538946809,-6.07428699751712,1.00631606634969,7.22707012402988,-0.080975636642211,-3.23677944717977,2.76831770692756,-1.14595940562088,-2.41558451129054,12.1246568066768,6.23626498941496,-4.06486161840188,-9.38812645975385,1.88002852332994,-4.02814788281853,-2.13822761580293,-3.83748035343716,-7.36627781326203,6.37053454020207,-18.3253940233544,-2.27520721030993,0.276334259242628,-0.513642007268267,-2.07544570996634,4.53844715385223,-0.98568576615472,0.503389657694542,-2.0581759337795,1.11086764630923,-1.14213920190133,8.45428683341205,1.65482446063812,4.46768744793895,0.797919795655666,1.01573693085297,9.35326278579689,15.2000357577976,0.156175506973377,4.53477543711349,1.18138956606517,4.84471596385696,-3.44167795236742,-1.98081917086766,3.05588195385738,4.95153509345683,4.54117553665867,5.78353921291883,1.19629423540053,4.87701961491913,1.3354997082754,4.14828985048532,-1.74468174265863,0.49573538902361,3.14040109094609,8.83810920967858,7.56012111873017,5.68266885109054,,,3.35026599545632,3.6929935606547,4.74497297940083,0.1309,0.71875,,2.01144821210724
2024-05-01,Three months,2.75187368765006,3.20428311201866,4.77661991102785,4.63203223565916,,0.411927015047175,2.97807431040635,1.70508458530967,1.91122544494122,2.53870449326643,1.61947826819315,2.51718341507434,2.92712074447825,5.9979512249505,4.98366504887606,5.14150746177335,8.52999659656326,-0.237708420498506,0.473789056809504,-1.1480059522157,-1.23986012379077,-1.47203511964047,-0.356034250421533,-4.71497182467382,0.948841504139897,3.51432683673685,-0.877695119268418,-0.988574293935884,-9.51191141767584,2.8416356270057,1.29631113967734,1.30097934731128,-0.388202485931111,-0.854769870683136,1.61250781794329,1.42903169903654,2.6976386760875,-1.72498380922602,-2.64196139015026,-0.123950732918821,-0.809997527857553,1.21425866243354,4.49662173832583,3.58026987554225,2.33163714692439,3.70149769267678,0.573913210311772,0.215921064604663,-1.73096557662002,-1.82640180019359,5.5044925169405,7.81762117677869,4.98807005602366,0.530076395895884,0.512653523693052,-0.434960880795654,-0.531157925155357,-1.66512766849186,-1.47117129454595,-0.286577349198425,-2.32635100308253,1.00453342795037,4.41630211347666,-0.380458314387377,5.14686429553883,2.73132890173011,8.1367091820121,4.55437630954698,4.77725464746017,1.08457634750025,2.25474235446228,-5.59577908017717,1.79193976030596,-1.08168064913783,2.56575764621556,10.9395961238682,4.88680776991886,10.8747599609733,8.29263046583946,-6.75218424511613,14.1170202765651,4.36369730319059,3.79612157077072,10.1860021786375,1.20162637826278,1.29747764178365,-1.59634375746851,1.28053588076416,-12.5013836847156,6.23167937489222,-3.97209921975168,12.7542316082976,6.4811757755701,3.41557935941843,2.24023258117911,5.07245706534847,2.06310851405476,1.7547109171675,4.99898302600568,4.90173086381887,5.64288284768881,-2.28960845056237,-2.36596007995222,5.09249220617882,-16.7622456695801,-11.0627581708188,-1.73277322033933,1.95183508675545,7.77202098350054,-4.34783514217911,-0.729037058922821,-0.16049147291306,8.733575318151,-5.91724328972401,-0.197888379790623,1.25172714577937,8.64248963008916,-9.01853883825308,-0.0863544055007215,5.83184955764939,6.95734973032494,-5.06312315469536,18.7013271698981,6.92620360241383,1.28323579949301,-1.46122825041364,-1.09730482549667,-8.44359534832513,-0.0997127450247492,-1.16101176143626,6.68882006330596,4.01164073022653,-0.872440601593605,-4.24810802851207,-3.8546768400975,5.65500168448563,1.51076844523883,-1.27312697536581,-8.54086214978671,4.41195263550973,-10.5707186064669,1.76361839803287,-4.14549557170611,-5.92130022045901,27.4212313585212,-12.8418853818196,-6.47228551423891,1.18992008035348,0.0296004401039163,-0.0149508357523254,7.86500637682832,0.137103664541027,-1.45071563568991,0.960526451586641,-0.695637289793283,-2.03058101247597,0.73895769545016,0.888426879133841,3.54942248287777,0.128664299700665,3.56764548977346,0.619284356379679,-3.66211332116247,-2.13648289754013,2.81980629875176,-1.33268503903192,3.2647655441187,-3.48599636966387,-2.63778985860816,-0.442983556504806,0.95982374283714,3.90977839506588,3.91573188339607,2.48465579510038,6.49876280592114,0.202668698270458,2.5694196759342,-4.66750699287095,0.394388246556909,3.08488709068406,8.53398046227629,8.7250015183566,6.12472705149578,,,3.16229158195688,3.14496107882183,4.47650282412792,0.08144,0.666666666666667,,3.20428311201866
2024-04-01,Three months,4.22553677613164,4.14315412883657,5.01946964713897,5.60130081535464,,11.7619704243766,4.73258908524383,4.52822163510582,3.42147648390336,3.74535548711585,3.77943639705935,4.28652003173642,3.68653589219203,8.3965055342982,8.08904097234451,4.81150260977741,12.2239389915822,2.1490020561808,19.1709080122527,2.82692063157701,2.88563458610902,-0.18825000666014,0.168707728270467,-2.94555842310389,2.60047839606674,3.32865551559902,2.08001361733894,1.8922850245144,-3.11800442632808,3.61592376863182,1.04525823264912,1.02721042325911,-0.160991834340662,0.69047738828385,1.33646831548488,0.0812687738214191,1.43446353866123,-1.60506092950677,-2.20775681963736,-0.15266201658195,-0.121645795101899,1.3350806109925,2.15261462967709,1.50909033422886,3.26551746064934,4.18644308546525,3.55276045523507,3.3269153553922,-1.73084419408923,-3.06021067574169,3.53074332972179,2.83839730533659,3.68659163909157,3.09548254374574,0.827004435531697,4.82884645166992,5.11059386639401,4.39867589560705,4.0930219934836,0.800400578047111,-2.52514864467557,2.93680840672657,5.49428175016784,3.03979573514905,5.25041255723342,3.58007368090989,15.3181443526051,6.15563435797042,5.66870817198362,9.1574667216531,9.54060933861804,-2.6027404613207,1.93397217711369,-14.4039914694379,4.49224962374228,12.5964148025008,2.88007428177131,12.6082259435091,7.26466902486564,-0.120069626859787,27.7341308380206,5.93905764841751,-5.20009193345984,55.2570977169971,6.9162250521593,11.7301526907597,15.1101788252015,3.3165455855088,11.9473464643016,1.00019634497535,3.53955112663116,0.695940530154115,5.7817986534072,3.24589315802952,1.95910775334007,4.63710583305712,4.6653914012323,2.28185361306483,11.8024943034843,12.239080093812,9.03326925877943,3.80087482812081,4.73595767522768,10.3915131826136,-10.6700117012479,-4.01364909219412,6.26908749541475,9.67792172623358,15.1407559269627,2.95541499854171,-1.43876580790276,-6.30246183214944,-1.86376520022988,0.99784472432265,1.34667752071527,3.61884926205358,6.76334203783886,3.86953494418572,-2.28125517200021,1.36288890589122,5.34128321642655,-0.167376558644372,-2.00706808996627,-0.32477466724169,-2.54239665235666,-4.77238121821872,-5.38663377805133,-1.12906803313502,0.769275802985425,3.83369469478505,0.106274826594666,19.982756122301,-2.16410359259399,-3.44686257318967,-6.15556336624271,5.03004594884686,-2.38562209554442,-6.27969277691158,-14.2539424070345,11.0818168746051,-16.5107070712649,-8.73385161381876,2.59808637373768,-4.13130832084836,39.8775185170426,-2.75693158192729,0.724452065244074,0.291625422284492,0.650954638274048,-2.01837049868729,3.33948067671892,0.517880962622819,3.70811921180378,-2.41485634352032,-1.23026196389699,-4.0278617916947,9.79205900804725,4.50228220654756,4.95889410362214,3.8341328625852,6.13190000770174,3.26802552553993,-1.17880458549074,-2.17754998123982,5.10566717661194,-1.43532884473159,-0.785479952381485,-7.71828204719997,-5.69809567683193,3.2724418615306,1.88905174366987,2.8534421680062,2.37624333023485,2.6299944699814,3.40425448396222,1.0757063892916,4.29996039507627,0.757466782461913,0.0394382239243374,-0.150930457209597,5.01321281061538,5.83413599475857,3.69502013147665,,,2.8534421680062,3.91110709103366,4.53769877674516,0.1278,0.757575757575758,,4.14315412883657
2024-03-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,Three months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
