date,All items,Food including alcohol and tobacco,Non-energy industrial goods,Energy,Services
Nov 2018,1.9160468927265801,0.38188595768068195,0.03257621234180742,0.8836752852809475,0.6167158992180738
Oct 2018,2.2770159768524376,0.4283698554714354,0.035581520520293154,1.0390155356881121,0.7911603738777533
Sep 2018,2.076777847702947,0.5118717310087175,0.011919314852379596,0.9254224583148901,0.6511497064579195
Aug 2018,2.0851762921774366,0.47996965918536877,0.027660041841000862,0.9002581222056634,0.6974785342846762
Jul 2018,2.1918155327505255,0.4939387132556831,0.06781046742044491,0.9220733573357337,0.7314389622984601
Jun 2018,1.98032290615539,0.5373618968385995,0.04459691927142063,0.7781759535160895,0.6258556182531926
May 2018,1.9568236333796383,0.5009691477587145,0.020734961353200354,0.5950628967961018,0.8442122822191974
Apr 2018,1.223511604439958,0.4780527338329145,0.03260177090338472,0.25117447118891406,0.47097765707937256
Mar 2018,1.3954078396549645,0.41812206963517606,0.008943517474633936,0.20118721661547354,0.7679620174346204
Feb 2018,1.1128165771296883,0.21066565475369148,0.08951173106104575,0.21083887356655606,0.6147958801498125
Jan 2018,1.2970335174007843,0.38639872097872585,0.10185817672464055,0.21880368009272777,0.5849227774987428
Dec 2017,1.3367281985996147,0.4114603752450294,0.10121847887324047,0.27797058823529475,0.5440142091486918
Nov 2017,1.5359017022910573,0.4319318915882621,0.08311290866194843,0.44303795554211534,0.5710589566310474
Oct 2017,1.377375334778725,0.4609322344322348,0.06533970323741396,0.2839294987922719,0.5601789539227924
Sep 2017,1.5595040265882638,0.3644837209302306,0.10461986650073368,0.3725317484662567,0.7083419483101396
Aug 2017,1.5398434492493116,0.2836082923401268,0.09863182454503262,0.3748769755190562,0.755885622924607
Jul 2017,1.3352163307228222,0.26708742094167215,0.09892032292032521,0.2086697332106713,0.7354230437461431
Jun 2017,1.2904050083045933,0.26987883047512057,0.09241238858174501,0.17788767455980703,0.7556177644710576
May 2017,1.382311532061946,0.2971668539325838,0.06527366647950557,0.43038669342389674,0.5910757480906486
Apr 2017,1.9023136246786685,0.2868859476203904,0.056385375716050096,0.7163893596986816,0.8402150672871336
Mar 2017,1.532715095311692,0.34850571791613866,0.059708474576272035,0.6976550965918019,0.43685689134808914
Feb 2017,1.9561815336463222,0.49615011318618907,0.033968092566619736,0.880313709933354,0.5402517058377523
Jan 2017,1.7243631613324724,0.3521167562977668,0.12705383532723327,0.7636573755089254,0.4861871033257169
Dec 2016,1.1069635731754401,0.24366543804933244,0.08100610307413984,0.2492870201096881,0.5294260847628673
Nov 2016,0.5792996910401501,0.13811342101541507,0.07776856338028322,-0.10490351533283455,0.4885401626842854
Oct 2016,0.4998718277364786,0.07458124734832697,0.06881077425898487,-0.09032007179180443,0.4558283844992413
Sep 2016,0.39784394250513644,0.1358313936985549,0.06925567150635328,-0.2912870108614776,0.49405679105415284
Aug 2016,0.21862139917695692,0.24460167923723053,0.08699531835206026,-0.5456223489834721,0.46674993785732516
Jul 2016,0.16718106995884188,0.2671423279669491,0.09976183206106656,-0.6534201115720208,0.5066364202916623
Jun 2016,0.05113127956026082,0.17172206466250833,0.10222720579906798,-0.6266467831273969,0.45663271993949706
