date,name,value
2020-04-01,Weighted median,2.41460204840649
2020-04-01,Prop. increasing,0.6384180790960452
2020-04-01,Volatility,1.6563007792551494
2020-04-01,Excl. energy & food,0.9954970222243799
2020-03-01,Weighted median,1.9125307957032645
2020-03-01,Prop. increasing,0.6892655367231638
2020-03-01,Volatility,1.465137988191656
2020-03-01,Excl. energy & food,1.5272953094374022
2020-02-01,Weighted median,2.3539632006608473
2020-02-01,Prop. increasing,0.7570621468926554
2020-02-01,Volatility,1.4304948085742208
2020-02-01,Excl. energy & food,1.6976972310441663
2020-01-01,Weighted median,2.37455543528685
2020-01-01,Prop. increasing,0.7005649717514124
2020-01-01,Volatility,1.438202431374104
2020-01-01,Excl. energy & food,1.5913288616700696
2019-12-01,Weighted median,2.22702053700243
2019-12-01,Prop. increasing,0.7175141242937854
2019-12-01,Volatility,1.4175855851473342
2019-12-01,Excl. energy & food,1.5447510585486963
2019-11-01,Weighted median,1.9540091900621077
2019-11-01,Prop. increasing,0.7627118644067796
2019-11-01,Volatility,1.4106298625970366
2019-11-01,Excl. energy & food,1.4977183197472614
2019-10-01,Weighted median,2.07214068747063
2019-10-01,Prop. increasing,0.7966101694915254
2019-10-01,Volatility,1.4524597481849713
2019-10-01,Excl. energy & food,1.62358595627455
2019-09-01,Weighted median,1.98586531160564
2019-09-01,Prop. increasing,0.7796610169491526
2019-09-01,Volatility,1.4948263261443766
2019-09-01,Excl. energy & food,1.6320140893302737
2019-08-01,Weighted median,1.9950306892812386
2019-08-01,Prop. increasing,0.7966101694915254
2019-08-01,Volatility,1.5099860564713532
2019-08-01,Excl. energy & food,1.7458045796737685
2019-07-01,Weighted median,1.8029351962723008
2019-07-01,Prop. increasing,0.7344632768361582
2019-07-01,Volatility,1.5310042427662027
2019-07-01,Excl. energy & food,1.6391192674940662
2019-06-01,Weighted median,1.9115118291571127
2019-06-01,Prop. increasing,0.768361581920904
2019-06-01,Volatility,1.5719141587202672
2019-06-01,Excl. energy & food,1.6569813098790662
2019-05-01,Weighted median,1.87846709258299
2019-05-01,Prop. increasing,0.7570621468926554
