date,Eurozone,United Kingdom,Japan,United States,type
2025-03-01,4.140782799207875,3.119396381862725,0.3174520965700209,3.5204293223372574,Annual growth
2025-02-01,4.352656235861517,4.102274342091902,0.6306798582343986,3.3717903671718554,Annual growth
2025-01-01,4.099927007779257,2.9029437638845828,0.7597911147371529,3.4621580903433125,Annual growth
2024-12-01,4.215462841178259,2.15640860782347,0.8309121980848065,3.493517172620708,Annual growth
2024-11-01,4.100531732168271,2.5852033920303987,0.7434838952646994,3.4367425824411018,Annual growth
2024-10-01,3.489131343588648,1.8049760742193954,0.713337464848276,3.0008898648069904,Annual growth
2024-09-01,3.310696038727871,0.5165250967852931,0.7596694088093645,2.5916123292859883,Annual growth
2024-08-01,2.932831776594724,0.5465328165754336,0.8395119002539916,2.0441213642583844,Annual growth
2024-07-01,2.5338410345218807,0.833256829951875,0.9668057709825777,1.502480822882168,Annual growth
2024-06-01,2.0378808426600608,0.47746712110223005,0.9840819562375116,1.301064565379797,Annual growth
2024-05-01,1.3796659665383133,0.786863757945337,1.2586889994410622,0.9057452345212441,Annual growth
2024-04-01,1.1718354050908126,1.003640716980594,1.5489915496184048,0.9609680863685077,Annual growth
2024-03-01,0.7175795390765648,-0.1932412466874772,1.8115017683873802,0.1187883015756157,Annual growth
2024-02-01,0.2331648923317263,-1.7693338509234209,1.7679842928684126,-1.5260924419243265,Annual growth
2024-01-01,0.24859272521835152,-1.3804827205494148,1.7953957989231561,-2.0376836740843207,Annual growth
2023-12-01,-0.235574431866315,-1.607684811729802,1.718947326648234,-2.4398114874481274,Annual growth
2023-11-01,-0.8717020277918994,-3.2869758494618337,1.7182245635726643,-3.0966910189638477,Annual growth
2023-10-01,-1.0153357872694895,-4.274608120360085,1.8569553703377304,-3.4404853210198754,Annual growth
2023-09-01,-1.1507504023820665,-2.880937188108459,1.8597227018521452,-3.7200339468222445,Annual growth
2023-08-01,-0.8490028677635002,-1.1669270720551006,1.8906094824732569,-3.9797730578603834,Annual growth
2023-07-01,-0.12109657319223951,-0.8082427232376189,1.9278349949535873,-4.018590017474791,Annual growth
2023-06-01,0.552863071867531,-0.08175575015444164,2.050747005609026,-3.9749740566392417,Annual growth
2023-05-01,1.0312239892163577,-0.00613540777538326,2.072632768432819,-4.101328240761841,Annual growth
2023-04-01,1.6319808455354838,-0.04985719954806031,2.025780216743335,-4.690597907813189,Annual growth
2023-03-01,2.3478059767389765,0.9301532920217542,2.0719224705085373,-3.891084273155131,Annual growth
2023-02-01,2.896389645776549,2.62831882555189,2.1525074240124646,-2.3076140478256915,Annual growth
2023-01-01,3.4847873974064303,3.0847855503268,2.293326205965028,-1.7695858196348309,Annual growth
2022-12-01,4.199711077396627,2.9289743533681625,2.539824385729047,-1.1736677974932985,Annual growth
2022-11-01,4.681107588468816,4.443790060967485,2.683598993590411,0.1946622282321149,Annual growth
2022-10-01,5.5077107951131685,6.3508486157796264,2.669325230534804,1.3352789163125647,Annual growth
2022-09-01,6.165998158176674,6.405833474931545,2.863806449953712,2.582513314530944,Annual growth
2022-08-01,6.016074793235824,5.718840073368853,2.9538452117750973,3.823468075492695,Annual growth
2022-07-01,6.120375851155524,5.562227124392054,2.9618588607477454,4.913128422893272,Annual growth
2022-06-01,6.340441614967174,5.431278625629263,2.9288161160552737,5.714851016395547,Annual growth
2022-05-01,6.60371970972159,5.835534681400356,2.8470238312322405,6.168207754810618,Annual growth
2022-04-01,6.709943957465148,6.300438024791808,3.0586188489105535,7.8789100058838475,Annual growth
2022-03-01,6.534171166152588,6.379928057553949,3.1069617128237477,9.575111824680778,Annual growth
2022-02-01,6.579621802066823,5.995221870643428,3.194903611715596,10.657024564598212,Annual growth
2022-01-01,6.902755676389984,6.037464301300274,3.287194246732238,11.507543352403186,Annual growth
2021-12-01,7.323419828625188,7.371647442119096,3.4045625180479417,12.219741749382331,Annual growth
2021-11-01,7.680525472196564,7.818224070124217,3.5556979589944278,12.317369008455284,Annual growth
2021-10-01,7.848555194975034,7.147558538717437,3.7439621556392564,12.75124808327199,Annual growth
2021-09-01,8.079290902205432,6.492697476635954,3.7536105237177138,12.813238831988258,Annual growth
2021-08-01,8.236098622518758,5.432654746591959,4.07179794208971,13.324895423309119,Annual growth
2021-07-01,7.9311870186175675,5.1099060707437385,4.587398461521559,12.73659617756506,Annual growth
2021-06-01,7.705884734029532,5.496999166996609,5.162703059682195,12.856796334262599,Annual growth
2021-05-01,8.132504312989914,6.022749195229263,6.859383673932448,14.438036842958246,Annual growth
2021-04-01,8.958676650761523,6.728326880668366,7.842411116239958,18.55937376159185,Annual growth
2021-03-01,10.486346937700256,9.408243084651284,8.013014327748797,23.946113367861734,Annual growth
2021-02-01,11.80827773525112,12.271484088010531,8.083134746639377,26.702048967254072,Annual growth
2021-01-01,11.760108042992243,12.58757895390874,7.943314365989326,25.57807638138927,Annual growth
2020-12-01,10.837891960535325,11.795659566022227,7.743524099063069,24.664432693304693,Annual growth
2020-11-01,10.08461766243809,11.262421485670625,7.616601223681362,24.236758993719835,Annual growth
2020-10-01,9.79678052559365,11.403570201578717,7.557535635175892,23.63174331659618,Annual growth
2020-09-01,9.096262930418469,10.535043720115828,7.460300677231649,23.720370290165445,Annual growth
2020-08-01,9.055685204229627,10.387739760110767,7.094691374100298,22.965970689021894,Annual growth
2020-07-01,9.32600151635557,10.803846980212741,6.5179630780689335,23.191104257132427,Annual growth
2020-06-01,9.14516071218683,10.281611903981732,5.885013926974178,22.812265352094276,Annual growth
2020-05-01,8.627169181027257,9.374133752359294,4.134797575468978,21.84612245334543,Annual growth
2020-04-01,7.7565044566558035,8.559310993222965,2.953474420688965,16.841912568668118,Annual growth
2020-03-01,6.533147937901039,5.62164391100809,2.629976722747378,10.102671654041938,Annual growth
2020-02-01,5.483049512275333,1.9890990351743707,2.3849711663472966,6.807623912724961,Annual growth
2020-01-01,5.181945917307985,0.2633673478588463,2.2975282790856255,6.71901496842078,Annual growth
2019-12-01,5.492036829983355,-0.20102559065591583,2.212263945222207,6.711751999376359,Annual growth
2019-11-01,5.8627193262739015,-0.19296896059751023,2.141664952703726,7.123884304088106,Annual growth
2019-10-01,5.773342094367452,0.30336385978655583,1.901583316785414,6.500886746212806,Annual growth
2019-09-01,5.9336995326651545,1.7022926219257963,1.8762894126668292,5.635564141016181,Annual growth
2019-08-01,5.7108287012718835,2.144013317601868,1.8691229703979368,5.218521334018496,Annual growth
2019-07-01,5.010169816333553,1.8179821822659086,1.8698953807921253,5.014225781650873,Annual growth
2019-06-01,4.885503925242474,1.4959319898400238,1.8680573213618525,4.686829815120826,Annual growth
2019-05-01,5.061489129285725,1.9217697114857557,2.1419886143812557,4.289144179086043,Annual growth
2019-04-01,5.052529898396403,2.319102924732301,2.0446132641254504,4.005382666401318,Annual growth
2019-03-01,4.754866849830555,1.438445463545948,2.0988354479018176,3.936067158984169,Annual growth
2019-02-01,4.318341585330226,1.2463587095476247,2.124476306088911,4.036231764808786,Annual growth
2019-01-01,4.1580238359078034,2.7529217946169604,2.1227313198995237,4.053846347561112,Annual growth
