Central bank,date,Policy rate,Today,Last month,Start of year
Fed,19767,5.375,,,
Fed,19768,5.375,,,
Fed,19769,5.375,,,
Fed,19770,5.375,,,
Fed,19771,5.375,,,
Fed,19772,5.375,,,
Fed,19773,5.375,,,
Fed,19774,5.375,,,
Fed,19775,5.375,,,
Fed,19776,5.375,,,
Fed,19777,5.375,,,
Fed,19778,5.375,,,
Fed,19779,5.375,,,
Fed,19780,5.375,,,
Fed,19781,5.375,,,
Fed,19782,5.375,,,
Fed,19783,5.375,,,
Fed,19784,5.375,,,
Fed,19785,5.375,,,
Fed,19786,5.375,,,
Fed,19787,5.375,,,
Fed,19788,5.375,,,
Fed,19789,5.375,,,
Fed,19790,5.375,,,
Fed,19791,5.375,,,
Fed,19792,5.375,,,
Fed,19793,5.375,,,
Fed,19794,5.375,,,
Fed,19795,5.375,,,
Fed,19796,5.375,,,
Fed,19797,5.375,,,
Fed,19798,5.375,,,
Fed,19799,5.375,,,
Fed,19800,5.375,,,
Fed,19801,5.375,,,
Fed,19802,5.375,,,
Fed,19803,5.375,,,
Fed,19804,5.375,,,
Fed,19805,5.375,,,
Fed,19806,5.375,,,
Fed,19807,5.375,,,
Fed,19808,5.375,,,
Fed,19809,5.375,,,
Fed,19810,5.375,,,
Fed,19811,5.375,,,
Fed,19812,5.375,,,
Fed,19813,5.375,,,
Fed,19814,5.375,,,
Fed,19815,5.375,,,
Fed,19816,5.375,,,
Fed,19817,5.375,,,
Fed,19818,5.375,,,
Fed,19819,5.375,,,
Fed,19820,5.375,,,
Fed,19821,5.375,,,
Fed,19822,5.375,,,
Fed,19823,5.375,,,
Fed,19824,5.375,,,
Fed,19825,5.375,,,
Fed,19826,5.375,,,
Fed,19827,5.375,,,
Fed,19828,5.375,,,
Fed,19829,5.375,,,
Fed,19830,5.375,,,
Fed,19831,5.375,,,
Fed,19832,5.375,,,
Fed,19833,5.375,,,
Fed,19834,5.375,,,
Fed,19835,5.375,,,
Fed,19836,5.375,,,
Fed,19837,5.375,,,
Fed,19838,5.375,,,
Fed,19839,5.375,,,
Fed,19840,5.375,,,
Fed,19841,5.375,,,
Fed,19842,5.375,,,
Fed,19843,5.375,,,
Fed,19844,5.375,,,
Fed,19845,5.375,,,
Fed,19846,5.375,,,
Fed,19847,5.375,,,
Fed,19848,5.375,,,
Fed,19849,5.375,,,
Fed,19850,5.375,,,
Fed,19851,5.375,,,
Fed,19852,5.375,,,
Fed,19853,5.375,,,
Fed,19854,5.375,,,
Fed,19855,5.375,,,
Fed,19856,5.375,,,
Fed,19857,5.375,,,
Fed,19858,5.375,,,
Fed,19859,5.375,,,
Fed,19860,5.375,,,
Fed,19861,5.375,,,
Fed,19862,5.375,,,
Fed,19863,5.375,,,
Fed,19864,5.375,,,
Fed,19865,5.375,,,
Fed,19866,5.375,,,
Fed,19867,5.375,,,
Fed,19868,5.375,,,
Fed,19869,5.375,,,
Fed,19870,5.375,,,
Fed,19871,5.375,,,
Fed,19872,5.375,,,
Fed,19873,5.375,,,
Fed,19874,5.375,,,
Fed,19875,5.375,,,
Fed,19876,5.375,,,
Fed,19877,5.375,,,
Fed,19878,5.375,,,
Fed,19879,5.375,,,
Fed,19880,5.375,,,
Fed,19881,5.375,,,
Fed,19882,5.375,,,
Fed,19883,5.375,,,
Fed,19884,5.375,,,
Fed,19885,5.375,,,
Fed,19886,5.375,,,
Fed,19887,5.375,,,
Fed,19888,5.375,,,
Fed,19889,5.375,,,
Fed,19890,5.375,,,
Fed,19891,5.375,,,
Fed,19892,5.375,,,
Fed,19893,5.375,,,
Fed,19894,5.375,,,
Fed,19895,5.375,,,
Fed,19896,5.375,,,
Fed,19897,5.375,,,
Fed,19898,5.375,,,
Fed,19899,5.375,,,
Fed,19900,5.375,,,
Fed,19901,5.375,,,
Fed,19902,5.375,,,
Fed,19903,5.375,,,
Fed,19904,5.375,,,
Fed,19905,5.375,,,
Fed,19906,5.375,,,
Fed,19907,5.375,,,
Fed,19908,5.375,,,
Fed,19909,5.375,,,
Fed,19910,5.375,,,
Fed,19911,5.375,,,
Fed,19912,5.375,,,
Fed,19913,5.375,,,
Fed,19914,5.375,,,
Fed,19915,5.375,,,
Fed,19916,5.375,,,
Fed,19917,5.375,,,
Fed,19918,5.375,,,
Fed,19919,5.375,,,
Fed,19920,5.375,,,
Fed,19921,5.375,,,
Fed,19922,5.375,,,
Fed,19923,5.375,,,
Fed,19924,5.375,,,
Fed,19925,5.375,,,
Fed,19926,5.375,,,
Fed,19927,5.375,,,
Fed,19928,5.375,,,
Fed,19929,5.375,,,
Fed,19930,5.375,,,
Fed,19931,5.375,,,
Fed,19932,5.375,,,
Fed,19933,5.375,,,
Fed,19934,5.375,,,
Fed,19935,5.375,,,
Fed,19936,5.375,,,
Fed,19937,5.375,,,
Fed,19938,5.375,,,
Fed,19939,5.375,,,
Fed,19940,5.375,,,
Fed,19941,5.375,,,
Fed,19942,5.375,,,
Fed,19943,5.375,,,
Fed,19944,5.375,,,
Fed,19945,5.375,,,
Fed,19946,5.375,,,
Fed,19947,5.375,,,
Fed,19948,5.375,,,
Fed,19949,5.375,,,
Fed,19950,5.375,,,
Fed,19951,5.375,,,
Fed,19952,5.375,,,
Fed,19953,5.375,,,
Fed,19954,5.375,,,
Fed,19955,5.375,,,
Fed,19956,5.375,,,
Fed,19957,5.375,,,
Fed,19958,5.375,,,
Fed,19959,5.375,,,
Fed,19960,5.375,,,
Fed,19961,5.375,,,
Fed,19962,5.375,,,
Fed,19963,5.375,,,
Fed,19964,5.375,,,
Fed,19965,5.375,,,
Fed,19966,5.375,,,
Fed,19967,5.375,,,
Fed,19968,5.375,,,
Fed,19969,5.375,,,
Fed,19970,5.375,,,
Fed,19971,5.375,,,
Fed,19972,5.375,,,
Fed,19973,5.375,,,
Fed,19974,5.375,,,
Fed,19975,5.375,,,
Fed,19976,5.375,,,
Fed,19977,5.375,,,
Fed,19978,5.375,,,
Fed,19979,5.375,,,
Fed,19980,5.375,,,
Fed,19981,5.375,,,
Fed,19982,5.375,,,
Fed,19983,5.375,,,
Fed,19984,4.875,,,
