date,Period,All items,FT core
2020-02-01,Six months,2.5231782761836907,2.614299481904008
2020-01-01,Six months,2.4416013680992554,2.2474088888999577
2019-12-01,Six months,2.6956893205441146,2.1667205861065764
2019-11-01,Six months,2.0337701862648716,2.161932560694649
2019-10-01,Six months,1.5117454949892695,2.232679541382135
2019-09-01,Six months,1.7005980726706005,1.9762708864545828
2019-08-01,Six months,2.1566252329252356,1.8827836024336126
2019-07-01,Six months,2.58297610210636,2.073861617258106
2019-06-01,Six months,1.9447434546022047,2.2855666458404755
2019-05-01,Six months,2.1508441670037515,2.1439985653843063
2019-04-01,Six months,1.956688403368756,2.3156955094795952
2019-03-01,Six months,1.6683998842802916,2.5766371798917063
2019-02-01,Six months,1.3203756047173831,2.5657273580110918
2019-01-01,Six months,1.07526752618603,2.4099263458754745
2018-12-01,Six months,1.3983803476469214,2.145984513750587
2018-11-01,Six months,1.4422101970468892,1.846733632227912
2018-10-01,Six months,2.044497435043402,1.825305467476864
2018-09-01,Six months,2.0984265800369384,1.8622277431223249
2018-08-01,Six months,1.717736298142003,1.84914755916725
2018-07-01,Six months,1.9015931963272559,2.0650882041521577
2018-06-01,Six months,2.6099793160605067,2.3159947425257963
2018-05-01,Six months,2.857348191510267,2.4321647461936546
2018-04-01,Six months,2.941530253142388,2.2814545397843284
2018-03-01,Six months,2.566218236176332,2.456463736975877
2018-02-01,Six months,3.5765265853692663,2.246238761034056
2018-01-01,Six months,3.815560224089154,2.153797583196087
2017-12-01,Six months,3.0055024868481217,1.931880246977984
2017-11-01,Six months,2.7065503354346987,1.6618093264413951
2017-10-01,Six months,2.002613107896223,1.7903884808576236
2017-09-01,Six months,2.0962209567149337,1.7900325354992133
2017-08-01,Six months,0.9670571372260017,1.4358482371059882
2017-07-01,Six months,0.5137565501821983,1.418489358614582
2017-06-01,Six months,1.2618015247517933,1.4815240748971328
2017-05-01,Six months,1.6412143953382197,1.7532591436518465
2017-04-01,Six months,2.038905626012988,1.7763990424867768
2017-03-01,Six months,2.264979182967841,1.9032789273439568
2017-02-01,Six months,2.8983339593505075,1.85232077115267
2017-01-01,Six months,2.9510568569417472,2.078108437408335
2016-12-01,Six months,2.0207468424649377,1.8381016084229245
2016-11-01,Six months,2.071927269111984,1.9355071702376392
2016-10-01,Six months,2.313726111947867,2.0251479308403018
2016-09-01,Six months,2.617716937109771,2.063715451088547
2016-08-01,Six months,2.7224646146494447,2.032207727387002
2016-07-01,Six months,2.0716160205774825,1.9894249899953045
2016-06-01,Six months,2.080859832943305,2.0120843226618064
2016-05-01,Six months,1.2982114698397496,1.8030495039079524
2016-04-01,Six months,1.0619760336639583,1.7654168032049835
2016-03-01,Six months,0.49070990843127493,1.7746586583582944
2016-02-01,Six months,-0.5847756692141548,2.022584586099481
2016-01-01,Six months,-0.3207050091694863,1.8358137430862214
2015-12-01,Six months,0.0875402411742332,1.8775981019438572
2015-11-01,Six months,0.8592181012615274,1.9101544704916906
2015-10-01,Six months,1.2833966140884279,1.9955957530875836
2015-09-01,Six months,1.2941216939301503,1.853276198850463
2015-08-01,Six months,2.2999592221313536,2.008276329344894
2015-07-01,Six months,2.8200682391048115,1.982105437011041
2015-06-01,Six months,1.1929446483587292,1.7823520976010228
2015-05-01,Six months,0.015191539978287594,1.7051070050027846
2015-04-01,Six months,-1.0149744847112063,1.8397877442893917
2015-03-01,Six months,-1.260127406542877,1.818075930712705
2015-02-01,Six months,-1.7759238260160237,1.7140351764188224
2015-01-01,Six months,-2.3032339069340324,1.5954059793246973
2014-12-01,Six months,-0.8236528459531822,1.6152838927635895
2014-11-01,Six months,0.054878832834281965,1.576847590861679
2014-10-01,Six months,0.8152957744767875,1.7488630749920695
2014-09-01,Six months,1.2315892855938593,1.7197648087763138
2014-08-01,Six months,1.630900189952933,1.9465926516479386
2014-07-01,Six months,1.8873712066518777,2.0001336298308803
2014-06-01,Six months,2.151885370499973,1.998026146707768
2014-05-01,Six months,2.422008513797036,1.994328127142595
2014-04-01,Six months,2.410044880660478,1.9848833382565032
2014-03-01,Six months,2.1385349658775477,1.846967818352153
2014-02-01,Six months,1.7993662622944884,1.4764266245634086
2014-01-01,Six months,2.061178594387658,1.728962598261301
2013-12-01,Six months,1.9661625114318682,1.553854757757132
2013-11-01,Six months,1.912522036593467,1.655952144282466
2013-10-01,Six months,1.6217286384158536,1.5190262486706256
2013-09-01,Six months,1.0895620455398047,1.5826807420454272
2013-08-01,Six months,0.44611047985512187,1.3822199367713859
2013-07-01,Six months,1.0568221298919767,1.3756885046349656
2013-06-01,Six months,1.0615296238110528,1.4403974080643642
2013-05-01,Six months,0.5577509354541821,1.3319257061663237
2013-04-01,Six months,0.13733029128373264,1.46943173640722
2013-03-01,Six months,1.0999064354289656,1.7014569241023538
2013-02-01,Six months,2.643395379953528,1.8868381854851966
2013-01-01,Six months,2.720916274900853,1.9328410671831056
2012-12-01,Six months,2.374293080376755,1.7624522051717797
2012-11-01,Six months,2.229921125376566,1.727665938460761
2012-10-01,Six months,2.1503016260757013,1.7138058999984043
2012-09-01,Six months,1.9393232375509495,1.7018212004994688
2012-08-01,Six months,1.3966943568447077,1.5900514837706958
2012-07-01,Six months,0.6576731536091396,1.717144202919161
2012-06-01,Six months,1.1484088645328239,1.7957818085122506
2012-05-01,Six months,1.3639599187876827,2.038696717665026
2012-04-01,Six months,2.1610547759737253,2.219098851583176
2012-03-01,Six months,1.9601116187432321,2.1782276254636757
2012-02-01,Six months,1.9760005513204781,2.138711845000342
2012-01-01,Six months,2.183085625956571,2.4440383504184346
2011-12-01,Six months,2.1618579384561354,2.4608370841903224
2011-11-01,Six months,2.113305769032303,2.4822289294351503
2011-10-01,Six months,2.3853949970416677,2.459142560545489
2011-09-01,Six months,3.209442731238221,2.4827039248234275
