date,Period,Headline,FT core,geo,"All items excluding energy, food, alcohol and tobacco","Excluding energy, food, alcoholic beverages & tobacco","All items, less fresh food and energy"
2020-03-01,Six months,0.8730309412495529,1.9724882816354483,UK,NA,1.5140835286746812,NA
2020-02-01,Six months,1.3481149610742316,2.0410147194827655,UK,NA,1.645257237371589,NA
2020-01-01,Six months,1.5720952174858915,2.062646817129468,UK,NA,1.6105819340284766,NA
2019-12-01,Six months,1.2216607458096496,1.7992066583361317,UK,NA,1.4186765160882464,NA
2019-11-01,Six months,1.4786513896615006,2.1959295938425223,UK,NA,1.6965279002821188,NA
2019-10-01,Six months,1.263710343633062,1.9973396885265229,UK,NA,1.509927053836435,NA
2019-09-01,Six months,2.2077472471496495,2.0137667848354814,UK,NA,1.6352766416175335,NA
2019-08-01,Six months,2.1168238500505865,1.9046395367538995,UK,NA,1.6905772162084665,NA
2019-07-01,Six months,1.984178583043339,1.9434970129816105,UK,NA,1.4910292766357358,NA
2019-06-01,Six months,1.4335013913765904,1.9794836012656336,UK,NA,1.4765177459777237,NA
2019-05-01,Six months,1.483434899418512,2.070194409841584,UK,NA,1.7201198835756104,NA
2019-04-01,Six months,1.639037563961887,2.0755979110182565,UK,NA,1.8214439594372855,NA
2019-03-01,Six months,1.2614661219604084,2.0012927788089696,UK,NA,1.7426823294345528,NA
2019-02-01,Six months,1.3495155266989525,2.0676163306458384,UK,NA,1.5863432156545176,NA
2019-01-01,Six months,2.0642999465430467,2.1377708846552586,UK,NA,2.097491318410172,NA
2026-07-01,Three months,3.650264674774384,3.070802196061032,UK,NA,3.1380029384484587,NA
2026-06-01,Three months,2.2485465914168445,2.7548166804527146,UK,NA,2.5163592549307223,NA
2026-05-01,Three months,3.2276235933079267,2.6962995395397513,UK,NA,2.340331322793898,NA
2026-04-01,Three months,3.1779049890309885,2.829704207167942,UK,NA,2.319654241030844,NA
2026-03-01,Three months,3.4586588772206106,2.9920370063729096,UK,NA,2.896165803803785,NA
2026-02-01,Three months,3.185596495041909,2.834969249250996,UK,NA,3.0756224632320306,NA
2026-01-01,Three months,2.6194636207605093,2.711957909498552,UK,NA,2.6227750398510663,NA
2025-12-01,Three months,2.363254287717953,2.80536912527189,UK,NA,2.6007798550665706,NA
2025-11-01,Three months,1.1682514971798286,2.2108575252458147,UK,NA,2.2612899001657416,NA
2025-10-01,Three months,1.9897287833345212,2.685949496821381,UK,NA,2.5595024184392745,NA
2025-09-01,Three months,2.5614663129742254,2.1115072626258753,UK,NA,2.740729039891021,NA
2025-08-01,Three months,3.8647942948050407,2.741918740673086,UK,NA,3.3554822413639274,NA
2025-07-01,Three months,3.446927316307846,2.9963859446902577,UK,NA,2.909986778669782,NA
2025-06-01,Three months,4.897752752505347,3.688540922802932,UK,NA,4.210620027938572,NA
2025-05-01,Three months,3.78026288937987,3.1689508901606556,UK,NA,3.8614271292559232,NA
2025-04-01,Three months,4.0146687408569415,3.5847527238070773,UK,NA,4.094113022240098,NA
2025-03-01,Three months,3.715406002602673,3.3909223635050187,UK,NA,3.515302281526256,NA
2025-02-01,Three months,4.259350026075404,3.6402140013587694,UK,NA,3.2841928750312332,NA
2025-01-01,Three months,4.802758922503458,3.159237599901375,UK,NA,3.972000862404168,NA
2024-12-01,Three months,3.951686411820199,3.2557279985971173,UK,NA,3.5203025717568392,NA
2024-11-01,Three months,3.1699146564850844,3.116297049776634,UK,NA,3.4738561602545737,NA
2024-10-01,Three months,2.979881165208998,2.9330140227776353,UK,NA,3.7103888975834383,NA
2024-09-01,Three months,1.7670442794332386,2.863239693051822,UK,NA,3.1578322827289895,NA
2024-08-01,Three months,2.2388996564638664,2.736819419561181,UK,NA,3.599822976492484,NA
2024-07-01,Three months,2.282267818037753,2.6014088193776432,UK,NA,3.2602297222220855,NA
2024-06-01,Three months,0.9696441044993342,3.001149971547544,UK,NA,3.2993926398300566,NA
2024-05-01,Three months,1.7226088166478304,3.338248296955289,UK,NA,3.5241917176838555,NA
2024-04-01,Three months,1.8722733538320435,3.4238976257913984,UK,NA,3.4056105091299527,NA
2024-03-01,Three months,3.405933287429219,3.3422492236990187,UK,NA,3.044387889861344,NA
2024-02-01,Three months,3.4716751600293083,3.208102380728767,UK,NA,3.610020134629699,NA
2024-01-01,Three months,2.033165197730802,2.7926536797239643,UK,NA,3.042062349783081,NA
2023-12-01,Three months,0.6267185455100188,3.4431589740257995,UK,NA,3.544219362412293,NA
2023-11-01,Three months,1.3841603828412374,3.74493778188496,UK,NA,3.5958840305788,NA
2023-10-01,Three months,2.6961426596000537,3.664127377921245,UK,NA,3.658505876976048,NA
2023-09-01,Three months,2.906989815352401,3.9991942521052906,UK,NA,4.5876327672374595,NA
2023-08-01,Three months,1.386355913797188,3.6796438673034135,UK,NA,3.868734822265263,NA
2023-07-01,Three months,2.6839752513760695,4.710854920585388,UK,NA,5.665611981520646,NA
2023-06-01,Three months,5.988999738663936,5.469748948170635,UK,NA,6.404285691077849,NA
