date,Period,All items,FT core,"All items, less fresh food and energy"
2004-06-01,Three months,1.265139787815861,0.8282524374679049,0.8196678463366913
2004-05-01,Three months,1.2678130225675988,0.9445505546457594,1.6477511206896
2004-04-01,Three months,0.8438771813036539,0.7608915907148586,1.6477511206896
2004-03-01,Three months,0,-0.4614848891878474,-2.017080966664908
2004-02-01,Three months,-0.41950650119360056,-0.5327407873677762,-2.4192428559986157
2004-01-01,Three months,-2.484350739722019,-0.5224000903452257,-3.209366380593792
2003-12-01,Three months,-1.6614384274144078,0.28228440335782157,0
2003-11-01,Three months,-1.6631654188388967,0.3196956429263036,-0.40588481393434295
2003-10-01,Three months,1.2638073934033045,0.7162196251995572,0.8163222979839846
2003-09-01,Three months,0.4190670008834996,0.5160261476751703,0.4075389526540629
2003-08-01,Three months,-1.2454440756344942,-0.3627875844930273,0
2003-07-01,Three months,-1.248034639358897,-0.2816265019739438,0.40795459558784497
2003-06-01,Three months,0.8412151374722399,0.2663758955893758,1.2301239367368932
2003-05-01,Three months,3.407576733282358,0.7823498018067117,2.8968639836245202
2003-04-01,Three months,1.2638073934033045,0.38514956398655104,1.6460559744165826
2003-03-01,Three months,-1.248034639358897,-0.41170685002260765,-2.015048774256778
2003-02-01,Three months,-2.484350739722019,-0.9378208433646589,-3.209366380593792
2003-01-01,Three months,-1.248034639358897,-0.7450574683375086,-2.8124806533244784
2002-12-01,Three months,-0.8315963198863963,-0.21409383030502918,-0.40506277085754494
2002-11-01,Three months,-0.8315963198863963,0.6656884129620746,0
2002-10-01,Three months,0.4190670008834996,0.35488671480326206,0
2002-09-01,Three months,-0.4160160769945076,0.2856497221373171,-0.4046529967242529
2002-08-01,Three months,-0.8298710350194249,-0.46030372406044684,-1.2090541179130665
2002-07-01,Three months,-0.832461655228256,-0.14101055335170448,-0.8080766689409158
2002-06-01,Three months,2.1107452367530977,0.49660069713799737,0.4062970900748253
2002-05-01,Three months,3.4003355519624634,0.9120597104488766,2.050164008262856
2002-04-01,Three months,0,0.51330002790618,0.8146597442656223
2002-03-01,Three months,-2.0671137321142674,-0.3578128983047323,-1.6063930542455696
2002-02-01,Three months,-3.2885150070462554,-1.068437522041392,-3.1901709155007785
2002-01-01,Three months,-3.271705448329121,-0.5250886772611179,-2.7928448377985804
2001-12-01,Three months,-2.4614204935832995,-0.7452722251015261,-1.2029938349091385
2001-11-01,Three months,-2.458898789210573,-0.0833410300087489,-0.8032087867188009
2001-10-01,Three months,0.8324616927478434,-0.10236475488094485,0
2001-09-01,Three months,-0.4130092574541777,-0.15360584699037605,-0.4018076287840677
2001-08-01,Three months,-0.8230408937853317,-0.39876214581360647,-0.801599166146616
2001-07-01,Three months,-1.6426755546927407,-0.45622982282298885,-1.2005866984063363
2001-06-01,Three months,0,0.17961538277024966,0.8088937583656586
2001-05-01,Three months,0.4138639067194916,0.5166951343466022,1.6243322684784012
2001-04-01,Three months,-1.2301237578372315,0.14205024790605986,0.8080767022537128
2001-03-01,Three months,-1.637631729443878,-0.4744182221030895,-2.773481285846846
2001-02-01,Three months,-0.8221950231358965,NA,-3.164931292237816
2001-01-01,Three months,-0.8196678110710676,NA,-2.7707369599
2000-12-01,Three months,-0.8196678110710676,NA,-0.7968087808359114
2000-11-01,Three months,-1.6326187827905403,NA,-1.192237053214329
2000-10-01,Three months,0.826441889214169,NA,-0.3990019965055769
2000-09-01,Three months,-0.4100455904568534,NA,-1.1898727291397848
2000-08-01,Three months,-0.8171560872925809,NA,-1.5809965475739318
2000-07-01,Three months,-1.6309546135233388,NA,-1.1898727291397848
2000-06-01,Three months,0.41173388710533665,NA,0.3994004018880837
2000-05-01,Three months,2.0756962834612036,NA,2.013021955492178
2000-04-01,Three months,0.41131051147387243,NA,0.3994004018880837
2000-03-01,Three months,NA,NA,NA
2000-02-01,Three months,NA,NA,NA
2000-01-01,Three months,NA,NA,NA
2025-06-01,One month,-1.068080650063974,0.7445067026281209,3.322267213340435
2025-05-01,One month,3.276909629739966,0.784584444534199,3.331489811996513
2025-04-01,One month,4.407020258502814,1.189048150048716,5.635008226901861
2025-03-01,One month,3.2979214029532633,1.0885142240513908,5.661587495905618
2025-02-01,One month,-4.232163188586712,0.7089497522415509,2.2345455513930412
2025-01-01,One month,5.556746646141542,1.0231073377853974,1.1126451312879926
2024-12-01,One month,7.909387793618805,0.23537158867511568,0
2024-11-01,One month,5.61918008987039,0.8883475679564616,3.381554696451494
2024-10-01,One month,6.815646414033272,1.0371281862672972,6.907151088735319
2024-09-01,One month,-2.177772018916724,1.0331997964888537,1.1230580672236812
