week,n,Mood (weekly),Mood,Week
2022-07-09,156,-0.2001998659436108,-0.2511535296271976,2022-07-09
2022-07-02,133,-0.22805461636661045,-0.25955658591118075,2022-07-02
2022-06-25,181,-0.26327178828205183,-0.236096810225781,2022-06-25
2022-06-18,167,-0.31308784791651734,-0.22949583515071903,2022-06-18
2022-06-11,159,-0.23381209107954337,-0.23470492121846984,2022-06-11
2022-06-04,149,-0.1342155136250114,-0.2584742962226135,2022-06-04
2022-05-28,166,-0.23686788798180403,-0.3036614487146533,2022-05-28
2022-05-21,158,-0.3339241921875207,-0.32619157924456943,2022-05-21
2022-05-14,148,-0.3288895910961178,-0.31702755278481537,2022-05-14
2022-05-07,141,-0.31496412359317066,-0.30900307473487165,2022-05-07
2022-04-30,143,-0.32698841010146873,-0.29139765218616487,2022-04-30
2022-04-23,139,-0.2972680863485043,-0.25656436373080427,2022-04-23
2022-04-16,127,-0.29679167889634284,-0.24908115487553295,2022-04-16
2022-04-09,146,-0.2445424333983436,-0.22077101471068103,2022-04-09
2022-04-02,167,-0.18765525628002624,-0.2115523500637698,2022-04-02
2022-03-26,171,-0.2673352509274193,-0.21267554350523843,2022-03-26
2022-03-19,159,-0.1835511182369352,-0.14340293382644806,2022-03-19
2022-03-12,115,-0.20766777481069856,-0.09508714688180787,2022-03-12
2022-03-05,146,-0.1921480300459007,-0.07955051423884527,2022-03-05
2022-02-26,124,0.00975518778774204,-0.0922091696485372,2022-02-26
2022-02-19,156,0.00971202954162571,-0.13872588772957464,2022-02-19
2022-02-12,135,-0.14552124423884813,-0.21133333814016367,2022-02-12
2022-02-05,162,-0.2427826516846684,-0.1885869795953399,2022-02-05
2022-01-29,138,-0.1763116845364078,-0.19133563211320223,2022-01-29
2022-01-22,144,-0.28071777210073035,-0.1921823173117694,2022-01-22
2022-01-15,147,-0.05453581005955313,-0.21812911387046635,2022-01-15
2022-01-08,117,-0.25377726175611787,-0.2688170785325969,2022-01-08
2022-01-01,59,-0.17969842533067623,-0.25205228342107266,2022-01-01
2021-12-25,131,-0.38450495833551807,-0.2760302512008075,2021-12-25
2021-12-18,175,-0.2572876687080754,-0.1843148887180125,2021-12-18
2021-12-11,146,-0.1867180813100211,-0.16619203040697467,2021-12-11
2021-12-04,157,-0.2756102964496154,-0.14926427621553656,2021-12-04
2021-11-27,160,-0.01764350840433804,-0.14439544211344696,2021-11-27
2021-11-20,153,-0.1847962354639242,-0.15031633207958292,2021-11-20
2021-11-13,149,-0.11900706454426864,-0.1695561079362554,2021-11-13
2021-11-06,156,-0.2561349600412569,-0.1964514111418954,2021-11-06
2021-10-30,199,-0.0413270682688819,-0.18982167826977464,2021-10-30
2021-10-23,177,-0.26175533889061414,-0.2423819938022508,2021-10-23
2021-10-16,174,-0.22658827736682857,-0.2689997438608951,2021-10-16
