week,Week,Geopolitical (weekly),Geopolitical mood
2022-09-18T00:00:00Z,2022-09-18T00:00:00Z,-0.0585975582498659,-0.06115147526441954
2022-09-11T00:00:00Z,2022-09-11T00:00:00Z,-0.05880944257129099,-0.06262468564986598
2022-09-04T00:00:00Z,2022-09-04T00:00:00Z,-0.05952719159655236,-0.06090064773430607
2022-08-28T00:00:00Z,2022-08-28T00:00:00Z,-0.06767170863996892,-0.06304580048378979
2022-08-21T00:00:00Z,2022-08-21T00:00:00Z,-0.06449039979165162,-0.06243445340416959
2022-08-14T00:00:00Z,2022-08-14T00:00:00Z,-0.05191329090905135,-0.05943912877076726
2022-08-07T00:00:00Z,2022-08-07T00:00:00Z,-0.06810780259448727,-0.06163338298130368
2022-07-31T00:00:00Z,2022-07-31T00:00:00Z,-0.06522632032148813,-0.060639198538932376
2022-07-24T00:00:00Z,2022-07-24T00:00:00Z,-0.05250910125804229,-0.0614832253958082
2022-07-17T00:00:00Z,2022-07-17T00:00:00Z,-0.060690307751196985,-0.06547291903301448
2022-07-10T00:00:00Z,2022-07-10T00:00:00Z,-0.06413106482500211,-0.06607343573763574
2022-07-03T00:00:00Z,2022-07-03T00:00:00Z,-0.06860242774899143,-0.06726867336866477
2022-06-26T00:00:00Z,2022-06-26T00:00:00Z,-0.06846787580686742,-0.06822883927362106
2022-06-19T00:00:00Z,2022-06-19T00:00:00Z,-0.06309237456968197,-0.06746218408341403
2022-06-12T00:00:00Z,2022-06-12T00:00:00Z,-0.06891201534911826,-0.06624469712798367
2022-06-05T00:00:00Z,2022-06-05T00:00:00Z,-0.0724430913688166,-0.06606761301918998
2022-05-29T00:00:00Z,2022-05-29T00:00:00Z,-0.0654012550460393,-0.06676999590757868
2022-05-22T00:00:00Z,2022-05-22T00:00:00Z,-0.05822242674796056,-0.06796797014190971
2022-05-15T00:00:00Z,2022-05-15T00:00:00Z,-0.06820367891394342,-0.07222858637403021
2022-05-08T00:00:00Z,2022-05-08T00:00:00Z,-0.07525262292237145,-0.07487129710065504
2022-05-01T00:00:00Z,2022-05-01T00:00:00Z,-0.07019315198336341,-0.07673781109460247
2022-04-24T00:00:00Z,2022-04-24T00:00:00Z,-0.07526489167644257,-0.08229798355256132
2022-04-17T00:00:00Z,2022-04-17T00:00:00Z,-0.07877452182044273,-0.08744423494416217
2022-04-10T00:00:00Z,2022-04-10T00:00:00Z,-0.08271867889816116,-0.09552866416870752
2022-04-03T00:00:00Z,2022-04-03T00:00:00Z,-0.09243384181519887,-0.10390171936190779
2022-03-27T00:00:00Z,2022-03-27T00:00:00Z,-0.09584989724284591,-0.11276143163034953
2022-03-20T00:00:00Z,2022-03-20T00:00:00Z,-0.11111223871862412,-0.12815924870706202
2022-03-13T00:00:00Z,2022-03-13T00:00:00Z,-0.11621089967096225,-0.1292808675178991
2022-03-06T00:00:00Z,2022-03-06T00:00:00Z,-0.1278726908889658,-0.11623737917250676
2022-02-27T00:00:00Z,2022-02-27T00:00:00Z,-0.15744116554969592,-0.0976131610760944
2022-02-20T00:00:00Z,2022-02-20T00:00:00Z,-0.11559871396197252,-0.07257494125294983
2022-02-13T00:00:00Z,2022-02-13T00:00:00Z,-0.06403694628939283,-0.060583627415649086
2022-02-06T00:00:00Z,2022-02-06T00:00:00Z,-0.053375818503316325,-0.06149176759926931
2022-01-30T00:00:00Z,2022-01-30T00:00:00Z,-0.05728828625711769,-0.06290008510815435
2022-01-23T00:00:00Z,2022-01-23T00:00:00Z,-0.0676334586127695,-0.06354198993696247
2022-01-16T00:00:00Z,2022-01-16T00:00:00Z,-0.06766950702387373,-0.06039096975313829
2022-01-09T00:00:00Z,2022-01-09T00:00:00Z,-0.0590090885388565,-0.05822909416901474
2022-01-02T00:00:00Z,2022-01-02T00:00:00Z,-0.05985590557235017,-0.05708223837796618
2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,-0.055029377877472765,-0.05761764966120206
2021-12-19T00:00:00Z,2021-12-19T00:00:00Z,-0.059022004687379545,-0.059277667263942735
2021-12-12T00:00:00Z,2021-12-12T00:00:00Z,-0.05442166537466225,-0.058536610271384376
2021-12-05T00:00:00Z,2021-12-05T00:00:00Z,-0.06199755070529371,-0.05851736300299899
2021-11-28T00:00:00Z,2021-11-28T00:00:00Z,-0.06166944828843543,-0.05639660966319383
2021-11-21T00:00:00Z,2021-11-21T00:00:00Z,-0.0560577767171461,-0.053288905213559834
2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,-0.05434467630112075,-0.05184545007597773
2021-11-07T00:00:00Z,2021-11-07T00:00:00Z,-0.053514537346073025,-0.05001620753865106
2021-10-31T00:00:00Z,2021-10-31T00:00:00Z,-0.04923863048989946,-0.04962208396321621
2021-10-24T00:00:00Z,2021-10-24T00:00:00Z,-0.0502839561668177,-0.050410483414244284
2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,-0.04702770615181406,-0.050144497857816425
