date,Period,Personal consumption expenditures (PCE),PCE excluding food and energy,FT core
1995-07-01,Six months,2.021224704310298,2.1317230367252193,2.3809777694934913
1995-06-01,Six months,2.1791999863373324,2.317645408625846,2.6803135557352364
1995-05-01,Six months,2.1111638630453733,2.2088367297166345,2.46655312523237
1995-04-01,Six months,2.1847740673722305,2.2366448159239827,2.585957907436636
1995-03-01,Six months,1.9946177172995183,2.2419369139453416,2.4788727956073853
1995-02-01,Six months,1.8453355858089937,2.051835967317439,2.3370984807210915
1995-01-01,Six months,1.9528545329694946,1.946923847136417,2.2024376005443767
1994-12-01,Six months,2.181616058847702,1.8674952789330845,2.1950594540131947
1994-11-01,Six months,2.5481339865175867,2.2516718594552954,2.453261860577399
1994-10-01,Six months,2.4567760859906196,2.3317696065677795,2.4587685398961194
1994-09-01,Six months,2.352268509819555,2.157931704854299,2.350715187978359
1994-08-01,Six months,2.6883073813290803,2.542544917715883,2.7420272349904606
1994-07-01,Six months,2.6914880381873063,2.7570798604884983,2.87623997171122
1994-06-01,Six months,2.1153054403928895,2.4895375448288126,2.6269717626115487
1994-05-01,Six months,1.666255113117665,2.1273599451258285,2.3697363038095034
1994-04-01,Six months,1.7557256334601812,2.1996098358821214,2.50333206221607
1994-03-01,Six months,2.1544031320904544,2.227544095329015,2.6174675517172243
1994-02-01,Six months,1.8064588527086922,1.8416905423151775,2.2977449846864344
1994-01-01,Six months,1.6824197595127544,1.7812433885578738,2.2541702196552604
1993-12-01,Six months,1.9398850412364554,2.0412286465221197,2.274305980922987
1993-11-01,Six months,1.9623154932809639,2.1440507255735097,2.4071994201920637
1993-10-01,Six months,2.205656114727428,2.307862927475024,2.45384699623798
1993-09-01,Six months,2.1082374220237954,2.5672582121121446,2.6263808940627857
1993-08-01,Six months,2.313433802819609,2.705797219515582,2.7228228384177453
1993-07-01,Six months,2.27292116980109,2.7140986751368334,2.7634008379237
1993-06-01,Six months,2.4424331322237425,2.8867902994537786,2.8056969417893356
1993-05-01,Six months,2.731311817903981,3.072959256732588,2.8982845557918786
1993-04-01,Six months,2.502244309622581,2.8267597177345394,2.834829100871007
1993-03-01,Six months,2.679651897425961,3.0195207229144705,2.8057701363861423
1993-02-01,Six months,2.5948699573514533,2.905131126234184,2.7055601236954714
1993-01-01,Six months,2.560099235640756,2.700516276899134,2.7153279903685457
1992-12-01,Six months,2.73822705158564,2.877866393289308,2.7838556502320984
1992-11-01,Six months,2.74311220336394,2.6561515333256347,2.6100579553277963
1992-10-01,Six months,2.611934483936418,2.4957886390267525,2.604451518614023
1992-09-01,Six months,2.442092046260491,2.3806256852764385,2.431317061623226
1992-08-01,Six months,2.6028307241651616,2.5579133809085164,2.5963085962617596
1992-07-01,Six months,2.8489611174676854,2.928056687013636,2.890610192005739
1992-06-01,Six months,2.4511732970397215,2.7124188710459185,2.721277889809962
1992-05-01,Six months,2.6001431701495825,3.0587990017418853,2.973693014343457
1992-04-01,Six months,2.7784317477797638,3.1545369299902815,3.094373962214651
1992-03-01,Six months,2.6075370055518965,2.932939344469987,2.8551194049818083
1992-02-01,Six months,2.816214078997037,3.242218005243269,3.150460637997794
1992-01-01,Six months,2.7735946531642686,3.2479482780572555,3.001785521619736
1991-12-01,Six months,2.817430324300707,3.3132482314011558,3.124701536669548
1991-11-01,Six months,2.651056597553425,3.251978843298464,3.09082680450466
1991-10-01,Six months,3.049046743502526,3.687916811244496,3.3955991969894965
1991-09-01,Six months,3.038035369439318,3.6460491706558296,3.5521507276088267
1991-08-01,Six months,2.3763890458150305,3.2521922539312964,3.2480921776266385
1991-07-01,Six months,2.0041557304385726,3.2546395617463197,3.3868866152531902
1991-06-01,Six months,2.459770254663729,3.655778585967151,3.714472485397151
1991-05-01,Six months,2.3058757757846493,3.4947267065844168,3.6077424003285206
1991-04-01,Six months,1.7208460353512312,2.924361805309794,3.2660673797420117
1991-03-01,Six months,2.516252946880715,3.2108017442127545,3.225090173722951
1991-02-01,Six months,3.7349842665650446,3.4998860634471995,3.640380871415917
1991-01-01,Six months,5.012800272535123,3.7905657093801226,3.762478159257395
1990-12-01,Six months,4.732979767874901,3.2808814088777227,3.3434454760928785
1990-11-01,Six months,5.463096179929328,3.7981844233247575,4.1024383096983295
1990-10-01,Six months,5.670072872261489,4.180831180630706,4.333846480647417
1990-09-01,Six months,4.910366930130561,4.094357936701853,4.020787789598517
1990-08-01,Six months,4.41767153314776,4.368343670507269,4.154944622657669
1990-07-01,Six months,3.9527087004717965,4.510640039345382,4.34857327767706
1990-06-01,Six months,5.013736451306627,4.788494776556207,4.673661030204334
1990-05-01,Six months,4.696211391986149,4.569036619874045,4.343086681747788
1990-04-01,Six months,4.681787823152184,4.487163282681661,4.381627796626812
1990-03-01,Six months,5.059474533015074,4.622652948430517,4.480684730485975
1990-02-01,Six months,4.735808858386759,4.343889584412763,4.275434443174735
1990-01-01,Six months,3.8441834897790184,3.6273289735542225,3.734553504997435
1989-12-01,Six months,2.77888977766505,3.363039713297833,3.506042789727014
1989-11-01,Six months,2.632624178726495,3.3263655123954683,3.5064897162230606
1989-10-01,Six months,2.934054462688729,3.3927919884379376,3.4580737021190675
1989-09-01,Six months,3.4993180157404824,3.337052744637603,3.5910824221859268
1989-08-01,Six months,3.8085030891520377,3.2371191373364416,3.670086453313477
