date,Period,geo,Headline,Core,Goods,Services
2022-03-01,One month,UK,11.434146881535,7.98609564868702,13.0020933575604,8.16622338846784
2022-02-01,One month,UK,6.49035272183454,4.91406529991145,9.89002373622887,4.86363670375842
2022-01-01,One month,UK,6.95236169482423,7.52988661400762,8.97901272553334,5.84834158653358
2021-12-01,One month,UK,5.88806354267499,5.5131081624997,9.58024039205876,2.7693471930397
2021-11-01,One month,UK,10.4592369483922,7.28442008860024,12.5817357400829,5.05671450266749
2021-10-01,One month,UK,13.3627576486476,6.84386854196861,14.3424844375026,6.99649389019295
2021-09-01,One month,UK,3.63193640201982,3.68837288540029,4.69534648701886,5.71714479539343
2021-08-01,One month,UK,6.61478048369142,6.12908529311011,10.528970780796,4.70199073690949
2021-07-01,One month,UK,3.6895207906346,3.94912048470168,4.06821462150695,0.180185532053279
2021-06-01,One month,UK,6.59784053083621,5.56874100609714,7.83487285690436,3.04551498187466
2021-05-01,One month,UK,5.68679759777324,6.65065867340566,6.87352782881965,3.11265230134168
2021-04-01,One month,UK,4.00747658086533,2.80283841103017,5.49511988956328,1.09468280264422
2021-03-01,One month,UK,1.72136577486328,2.6404482164218,3.36925209353007,0.64361462069662
2021-02-01,One month,UK,-1.709875655816,-4.34745743444654,-0.242653339068521,1.3926558926951
2021-01-01,One month,UK,5.85374873402438,3.29602176280506,3.77771778357219,6.32244402296906
2020-12-01,One month,UK,2.68640324964338,3.22393008334547,3.76969311619515,1.54754077454158
2020-11-01,One month,UK,-0.882779606014861,0.385293820341404,-2.71908718305748,2.95405413670444
2020-10-01,One month,UK,-0.136939812593573,1.89851573493036,0.689860879213877,0.452596850648845
2020-09-01,One month,UK,4.80242840613203,4.67994293760574,1.23854448014691,12.4470475276172
2020-08-01,One month,UK,-7.29943088803328,-8.40279736610329,-1.08981146915048,-12.2100208207282
2020-07-01,One month,UK,9.33242664560143,9.59195340425478,5.1288451265562,5.69727523798029
2020-06-01,One month,UK,1.86967754220124,2.43177948354334,1.43172612687947,0.659949742521948
2020-05-01,One month,UK,-1.28194482945256,-0.53782071368077,-1.52453429842171,0.324060861981357
2020-04-01,One month,UK,-5.08013350376209,0.515125982050013,-10.9516853369017,-1.27157568342486
2020-03-01,One month,UK,-1.54740742025961,0.717215056921328,-1.89083761632337,2.05389538444651
2020-02-01,One month,UK,1.56391608060851,1.63204727899988,0.597572823607972,4.03493960335279
2020-01-01,One month,UK,4.48331474449835,2.60936565557384,2.90392248546674,3.58529150558384
2019-12-01,One month,UK,-0.790960073925073,-0.483607488859161,-1.30749661315664,0.0190559957487624
2019-11-01,One month,UK,3.44439063727098,2.80843207721355,3.86580539226911,2.06552103372968
2019-10-01,One month,UK,-1.74584634046825,0.971739411418504,-2.1953042704836,1.94568441304752
2019-09-01,One month,UK,0.909661221571967,1.07728125770972,1.10858688529871,2.99777554486471
2019-08-01,One month,UK,1.84496698167653,1.0297954601314,0.414152417742741,3.44909396510313
2019-07-01,One month,UK,3.54462381844611,3.14196354415377,1.38516476295907,1.32984962556946
2019-06-01,One month,UK,0.6362170810565,0.91289250484774,-0.39820870331847,2.44937321674605
2019-05-01,One month,UK,2.1892569182429,2.22660380877417,2.94628041342759,1.81732075087162
2019-04-01,One month,UK,3.99410012187122,1.06619419061835,0.680124406040528,3.50861112358494
2019-03-01,One month,UK,0.767049329562286,1.93524271512515,1.2160871002737,2.88729288207721
2019-02-01,One month,UK,2.15792302617619,1.32616647340524,2.66778356562345,1.38085902239482
2019-01-01,One month,UK,-0.816357210531349,1.35212787803862,-1.88045785299109,2.12787696652172
2025-04-01,One year,Japan,3.53159851301116,3.00751879699247,5.54577464788733,1.28331688055281
2025-03-01,One year,Japan,3.63128491620111,2.91627469426153,5.65870910698497,1.38203356367227
2025-02-01,One year,Japan,3.64145658263306,2.63653483992467,5.67375886524823,1.28458498023715
2025-01-01,One year,Japan,4.02621722846442,2.54476908576815,6.29991126885536,1.38476755687439
2024-12-01,One year,Japan,3.65510777881911,2.36071765816808,5.23513753327417,1.68650793650794
2024-11-01,One year,Japan,2.90262172284645,2.36518448438978,4.08163265306122,1.48809523809524
2024-10-01,One year,Japan,2.24299065420561,2.27488151658768,2.91777188328913,1.59045725646124
2024-09-01,One year,Japan,2.53998118532456,1.99240986717267,3.57142857142857,1.29353233830845
2024-08-01,One year,Japan,3.02171860245514,2.09324452901998,4.39461883408072,1.39442231075696
2024-07-01,One year,Japan,2.74361400189214,1.90657769304099,3.96039603960397,1.29611166500498
2024-06-01,One year,Japan,2.94396961063629,2.20095693779904,3.79061371841155,1.70340681362726
2024-05-01,One year,Japan,2.75927687916271,2.10930009587728,3.90199637023593,1.50300601202405
2024-04-01,One year,Japan,2.47619047619047,2.40615976900866,3.08529945553538,1.70682730923695
2024-03-01,One year,Japan,2.77511961722489,2.80464216634429,3.28767123287671,2.01409869083585
2024-02-01,One year,Japan,2.7831094049904,3.2069970845481,3.39138405132906,2.11907164480324
2024-01-01,One year,Japan,2.10325047801147,3.51219512195121,2.08333333333333,2.22446916076844
2023-12-01,One year,Japan,2.49759846301634,3.72184133202744,2.82846715328468,2.23123732251522
