date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-06-08,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-09,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-10,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-11,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-12,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-13,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-14,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-15,Fed,,,,,,,,,,,,,,,,,,0.875
2022-06-16,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-17,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-18,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-19,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-20,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-21,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-22,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-23,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-24,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-25,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-26,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-27,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-28,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-29,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,,,,,,,,,,,,,,,,,,1.625
2022-06-30,Fed,1.38,,,,,,,,,,,,,,,,,
2022-07-01,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-02,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-03,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-04,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-05,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-06,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-07,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-08,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-09,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-10,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-11,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-12,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-13,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-14,Fed,,,,,,,,,,,,,,,,,,1.625
